9688422,0,-228,Bird,back-balloon,mouth-peace-maker,horn-eggshell,tail-hare,59,11266192,11122988,30,1649741971
11180679,1,41,Plant,back-sandal,mouth-goda,horn-beech,tail-cattail,32,11296757,11298665,96,1649741979
11276786,2,-709,Plant,back-bidens,mouth-mosquito,horn-cactus,tail-hatsune,31,11272304,11287737,122,1649741987
9688422,0,-228,Bird,back-balloon,mouth-peace-maker,horn-eggshell,tail-hare,59,11266192,11122988,30,1649742030
11180679,1,41,Plant,back-sandal,mouth-goda,horn-beech,tail-cattail,32,11296757,11298665,96,1649742038
11276786,2,-710,Plant,back-bidens,mouth-mosquito,horn-cactus,tail-hatsune,31,11272304,11287737,122,1649742045
10937208,0,-226,Aquatic,back-scarab,mouth-piranha,horn-arco,tail-nimo,52,11277115,11295154,64,1649742079
11082963,1,-58,Plant,back-sandal,mouth-serious,horn-beech,tail-cattail,31,11294297,11294293,76,1649742087
9688422,0,-228,Bird,back-balloon,mouth-peace-maker,horn-eggshell,tail-hare,59,11266192,11122988,30,1649742132
11180679,1,41,Plant,back-sandal,mouth-goda,horn-beech,tail-cattail,32,11296757,11298665,96,1649742140
11276786,2,-710,Plant,back-bidens,mouth-mosquito,horn-cactus,tail-hatsune,31,11272304,11287737,122,1649742147
10937208,0,-227,Aquatic,back-scarab,mouth-piranha,horn-arco,tail-nimo,52,11277115,11295154,64,1649742175
11082963,1,-58,Plant,back-sandal,mouth-serious,horn-beech,tail-cattail,31,11294297,11294293,76,1649742185
10707046,0,-56,Bird,back-pigeon-post,mouth-toothless-bite,horn-eggshell,tail-swallow,59,11254062,11254073,73,1649742208
178549,0,-148,Beast,back-ronin,mouth-goda,horn-imp,tail-cottontail,40,3162333,6743253,30,1649742232
11009029,0,-227,Aquatic,back-scarab,mouth-piranha,horn-arco,tail-nimo,52,11277115,11295154,64,1649742253
11232703,1,-77,Reptile,back-indian-star,mouth-kotaro,horn-scaly-spoon,tail-tiny-dino,40,11212381,11212406,75,1649742268
10728289,0,-134,Aquatic,back-scarab,mouth-risky-fish,horn-arco,tail-nimo,52,11277075,10994711,59,1649742275
10937182,0,-227,Aquatic,back-scarab,mouth-piranha,horn-arco,tail-nimo,52,11277115,11295154,64,1649742288
10990562,0,-128,Aquatic,back-blue-moon,mouth-piranha,horn-cuckoo,tail-koi,57,11259335,11283733,64,1649742297
11018554,1,41,Plant,back-sandal,mouth-goda,horn-beech,tail-cattail,32,11296757,11298665,96,1649742306
