id,eyes,ears,mouth,horn,back,tail,class,breedcount,speed
4901576,eyes-gero,ears-nimo,mouth-piranha,horn-scaly-spear,back-sandal,tail-nimo,Aquatic,0,52
5437116,eyes-topaz,ears-pogona,mouth-kotaro,horn-scaly-spear,back-croc,tail-gravel-ant,Reptile,3,40
11243838,eyes-gecko,ears-tiny-fan,mouth-serious,horn-scaly-spear,back-sandal,tail-cattail,Dusk,0,44
11024666,eyes-tricky,ears-pogona,mouth-cute-bunny,horn-antenna,back-sandal,tail-twin-tail,Bug,3,33
11138907,eyes-confused,ears-pogona,mouth-kotaro,horn-antenna,back-indian-star,tail-tiny-dino,Reptile,3,39
11276802,eyes-gecko,ears-tiny-fan,mouth-cute-bunny,horn-antenna,back-bone-sail,tail-cattail,Dusk,0,44
8713350,eyes-clear,ears-early-bird,mouth-lam,horn-oranda,back-balloon,tail-koi,Aquatic,4,57
10937208,eyes-telescope,ears-inkling,mouth-piranha,horn-arco,back-scarab,tail-nimo,Aquatic,6,52
11082963,eyes-papi,ears-lotus,mouth-serious,horn-beech,back-sandal,tail-cattail,Plant,0,31
11283753,eyes-papi,ears-sakura,mouth-goda,horn-scaly-spear,back-sandal,tail-cattail,Dusk,4,41
11283867,eyes-tricky,ears-sakura,mouth-razor-bite,horn-scaly-spear,back-scarab,tail-cottontail,Reptile,3,39
11285783,eyes-confused,ears-lotus,mouth-goda,horn-scaly-spear,back-sandal,tail-cattail,Dusk,3,41
11267430,eyes-gecko,ears-rosa,mouth-goda,horn-scaly-spear,back-sandal,tail-cattail,Dusk,4,42
11267456,eyes-papi,ears-rosa,mouth-goda,horn-scaly-spear,back-sandal,tail-cattail,Dusk,4,41
11270968,eyes-tricky,ears-friezard,mouth-razor-bite,horn-scaly-spear,back-scarab,tail-cottontail,Reptile,5,40
11198354,eyes-confused,ears-seaslug,mouth-goda,horn-caterpillars,back-timber,tail-cattail,Dusk,4,44
11276095,eyes-little-owl,ears-gill,mouth-razor-bite,horn-scaly-spear,back-croc,tail-rice,Dusk,4,49
11292081,eyes-gero,ears-curly,mouth-razor-bite,horn-scaly-spear,back-scarab,tail-nimo,Dusk,4,50
11292067,eyes-cucumber-slice,ears-friezard,mouth-goda,horn-scaly-spear,back-sandal,tail-cattail,Dusk,0,42
11294129,eyes-little-owl,ears-gill,mouth-razor-bite,horn-scaly-spear,back-croc,tail-rice,Dusk,4,49
11294944,eyes-sleepless,ears-inkling,mouth-razor-bite,horn-scaly-spear,back-scarab,tail-nimo,Dusk,4,50
9688422,eyes-mavis,ears-curly,mouth-peace-maker,horn-eggshell,back-balloon,tail-hare,Bird,5,59
11180679,eyes-papi,ears-lotus,mouth-goda,horn-beech,back-sandal,tail-cattail,Plant,3,32
11276786,eyes-confused,ears-hollow,mouth-mosquito,horn-cactus,back-bidens,tail-hatsune,Plant,3,31
4901576,eyes-gero,ears-nimo,mouth-piranha,horn-scaly-spear,back-sandal,tail-nimo,Aquatic,0,52
5437116,eyes-topaz,ears-pogona,mouth-kotaro,horn-scaly-spear,back-croc,tail-gravel-ant,Reptile,3,40
11243838,eyes-gecko,ears-tiny-fan,mouth-serious,horn-scaly-spear,back-sandal,tail-cattail,Dusk,0,44
11024666,eyes-tricky,ears-pogona,mouth-cute-bunny,horn-antenna,back-sandal,tail-twin-tail,Bug,3,33
11138907,eyes-confused,ears-pogona,mouth-kotaro,horn-antenna,back-indian-star,tail-tiny-dino,Reptile,3,39
11276802,eyes-gecko,ears-tiny-fan,mouth-cute-bunny,horn-antenna,back-bone-sail,tail-cattail,Dusk,0,44
8713350,eyes-clear,ears-early-bird,mouth-lam,horn-oranda,back-balloon,tail-koi,Aquatic,4,57
10937208,eyes-telescope,ears-inkling,mouth-piranha,horn-arco,back-scarab,tail-nimo,Aquatic,6,52
11082963,eyes-papi,ears-lotus,mouth-serious,horn-beech,back-sandal,tail-cattail,Plant,0,31
11283753,eyes-papi,ears-sakura,mouth-goda,horn-scaly-spear,back-sandal,tail-cattail,Dusk,4,41
11283867,eyes-tricky,ears-sakura,mouth-razor-bite,horn-scaly-spear,back-scarab,tail-cottontail,Reptile,3,39
11285783,eyes-confused,ears-lotus,mouth-goda,horn-scaly-spear,back-sandal,tail-cattail,Dusk,3,41
3804830,eyes-papi,ears-lotus,mouth-serious,horn-rose-bud,back-bidens,tail-hatsune,Plant,0,31
10707046,eyes-mavis,ears-peace-maker,mouth-toothless-bite,horn-eggshell,back-pigeon-post,tail-swallow,Bird,4,59
10863629,eyes-confused,ears-clover,mouth-goda,horn-beech,back-scarab,tail-cattail,Plant,6,32
11279921,eyes-papi,ears-rosa,mouth-goda,horn-scaly-spear,back-sandal,tail-cattail,Dusk,3,41
11285759,eyes-chubby,ears-seaslug,mouth-piranha,horn-scaly-spear,back-scarab,tail-nimo,Dusk,3,50
11285785,eyes-bookworm,ears-friezard,mouth-goda,horn-scaly-spear,back-sandal,tail-cattail,Dusk,4,42
178549,eyes-chubby,ears-clover,mouth-goda,horn-imp,back-ronin,tail-cottontail,Beast,3,40
10264240,eyes-confused,ears-rosa,mouth-goda,horn-cactus,back-pumpkin,tail-cattail,Dusk,4,40
11094696,eyes-papi,ears-friezard,mouth-razor-bite,horn-scaly-spoon,back-indian-star,tail-tiny-dino,Reptile,3,40
10890926,eyes-clear,ears-inkling,mouth-piranha,horn-shoal-star,back-spiky-wing,tail-koi,Aquatic,4,54
11006739,eyes-clear,ears-inkling,mouth-lam,horn-pliers,back-timber,tail-nimo,Aquatic,4,52
11009029,eyes-clear,ears-bubblemaker,mouth-piranha,horn-arco,back-scarab,tail-nimo,Aquatic,6,52
11067511,eyes-cucumber-slice,ears-clover,mouth-serious,horn-caterpillars,back-sandal,tail-cattail,Plant,0,31
11219985,eyes-gero,ears-gill,mouth-risky-fish,horn-arco,back-risky-beast,tail-nimo,Aquatic,0,53
11232703,eyes-topaz,ears-hollow,mouth-kotaro,horn-scaly-spoon,back-indian-star,tail-tiny-dino,Reptile,0,40
10728289,eyes-little-owl,ears-gill,mouth-risky-fish,horn-arco,back-scarab,tail-nimo,Aquatic,3,52
11210897,eyes-clear,ears-curly,mouth-risky-fish,horn-arco,back-timber,tail-nimo,Aquatic,0,53
11281801,eyes-telescope,ears-inkling,mouth-piranha,horn-oranda,back-spiky-wing,tail-koi,Aquatic,3,54
10937182,eyes-clear,ears-gill,mouth-piranha,horn-arco,back-scarab,tail-nimo,Aquatic,6,52
10990562,eyes-clear,ears-seaslug,mouth-piranha,horn-cuckoo,back-blue-moon,tail-koi,Aquatic,4,57
11018554,eyes-papi,ears-lotus,mouth-goda,horn-beech,back-sandal,tail-cattail,Plant,6,32
7507304,eyes-confused,ears-lotus,mouth-serious,horn-leaf-bug,back-pumpkin,tail-cattail,Plant,3,31
11088033,eyes-gero,ears-gill,mouth-piranha,horn-clamshell,back-blue-moon,tail-shrimp,Aquatic,0,57
11260571,eyes-robin,ears-nimo,mouth-toothless-bite,horn-dual-blade,back-risky-beast,tail-twin-tail,Mech,4,48
6415058,eyes-mavis,ears-early-bird,mouth-peace-maker,horn-eggshell,back-balloon,tail-hare,Bird,5,59
10328606,eyes-blossom,ears-clover,mouth-serious,horn-cactus,back-sandal,tail-cattail,Plant,2,31
10966777,eyes-gero,ears-inkling,mouth-catfish,horn-caterpillars,back-sponge,tail-nimo,Aquatic,4,54
5865641,eyes-lucas,ears-bubblemaker,mouth-piranha,horn-cuckoo,back-blue-moon,tail-koi,Aquatic,4,57
10894801,eyes-telescope,ears-early-bird,mouth-piranha,horn-arco,back-scarab,tail-nimo,Aquatic,6,52
11232957,eyes-gecko,ears-friezard,mouth-goda,horn-caterpillars,back-sandal,tail-cattail,Dusk,2,42
11260180,eyes-clear,ears-inkling,mouth-razor-bite,horn-scaly-spear,back-goldfish,tail-nimo,Aquatic,2,53
11265871,eyes-confused,ears-swirl,mouth-goda,horn-scaly-spear,back-sandal,tail-cattail,Plant,3,34
11265884,eyes-confused,ears-sidebarb,mouth-goda,horn-scaly-spear,back-sandal,tail-cattail,Plant,4,34
11265141,eyes-sleepless,ears-lotus,mouth-goda,horn-scaly-spear,back-sandal,tail-cattail,Dusk,4,44
11283851,eyes-topaz,ears-friezard,mouth-razor-bite,horn-scaly-spear,back-scarab,tail-cottontail,Reptile,5,40
11287639,eyes-cucumber-slice,ears-leafy,mouth-goda,horn-scaly-spear,back-sandal,tail-cattail,Dusk,4,41
11222418,eyes-lucas,ears-inkling,mouth-piranha,horn-arco,back-scarab,tail-nimo,Aquatic,3,52
11226427,eyes-blossom,ears-hollow,mouth-serious,horn-beech,back-sandal,tail-cattail,Plant,2,31
11234010,eyes-lucas,ears-gill,mouth-lam,horn-oranda,back-balloon,tail-koi,Aquatic,0,57
10309041,eyes-clear,ears-bubblemaker,mouth-piranha,horn-oranda,back-spiky-wing,tail-koi,Aquatic,4,54
11011545,eyes-lucas,ears-inkling,mouth-piranha,horn-arco,back-scarab,tail-nimo,Aquatic,0,52
11261303,eyes-scar,ears-rosa,mouth-goda,horn-caterpillars,back-sandal,tail-cattail,Dusk,3,41
10550487,eyes-clear,ears-bubblemaker,mouth-risky-fish,horn-arco,back-scarab,tail-nimo,Aquatic,3,52
10993215,eyes-clear,ears-seaslug,mouth-piranha,horn-cuckoo,back-blue-moon,tail-koi,Aquatic,6,57
11138230,eyes-confused,ears-lotus,mouth-goda,horn-beech,back-sandal,tail-cattail,Plant,4,32
11059811,eyes-clear,ears-inkling,mouth-piranha,horn-cuckoo,back-blue-moon,tail-koi,Aquatic,4,57
11158191,eyes-confused,ears-clover,mouth-goda,horn-beech,back-sandal,tail-cattail,Dusk,3,40
11174201,eyes-clear,ears-owl,mouth-piranha,horn-arco,back-scarab,tail-nimo,Aquatic,4,52
2949559,eyes-mavis,ears-owl,mouth-peace-maker,horn-eggshell,back-tri-feather,tail-the-last-one,Bird,3,61
11233476,eyes-cucumber-slice,ears-lotus,mouth-goda,horn-beech,back-sandal,tail-cattail,Dusk,0,40
11280313,eyes-gero,ears-gill,mouth-piranha,horn-arco,back-scarab,tail-nimo,Aquatic,3,52
11267467,eyes-papi,ears-sakura,mouth-goda,horn-caterpillars,back-sandal,tail-cattail,Dusk,3,40
11270922,eyes-tricky,ears-friezard,mouth-mosquito,horn-caterpillars,back-snail-shell,tail-twin-tail,Bug,6,33
11270947,eyes-mavis,ears-risky-bird,mouth-peace-maker,horn-eggshell,back-tri-feather,tail-the-last-one,Bird,2,61
10729101,eyes-papi,ears-clover,mouth-zigzag,horn-beech,back-sandal,tail-cattail,Plant,4,31
11069874,eyes-clear,ears-curly,mouth-peace-maker,horn-eggshell,back-tri-feather,tail-hare,Bird,0,59
11117309,eyes-robin,ears-gill,mouth-piranha,horn-arco,back-scarab,tail-nimo,Aquatic,4,52
5272433,eyes-confused,ears-hollow,mouth-serious,horn-cactus,back-pumpkin,tail-cattail,Plant,2,31
10126685,eyes-mavis,ears-peace-maker,mouth-little-owl,horn-eggshell,back-pigeon-post,tail-post-fight,Bird,2,61
11225580,eyes-little-owl,ears-tiny-fan,mouth-nut-cracker,horn-arco,back-balloon,tail-nut-cracker,Mech,0,51
11265893,eyes-scar,ears-hollow,mouth-zigzag,horn-scaly-spear,back-sandal,tail-cattail,Plant,2,33
11279091,eyes-confused,ears-nimo,mouth-goda,horn-scaly-spear,back-sandal,tail-rice,Dusk,3,45
11296208,eyes-clear,ears-gill,mouth-razor-bite,horn-scaly-spear,back-scarab,tail-cottontail,Reptile,4,44
11196278,eyes-lucas,ears-nimo,mouth-piranha,horn-arco,back-scarab,tail-nimo,Aquatic,3,52
11215857,eyes-confused,ears-larva,mouth-goda,horn-beech,back-sandal,tail-cattail,Dusk,3,40
11245371,eyes-confused,ears-clover,mouth-goda,horn-beech,back-scarab,tail-cattail,Plant,1,32
9836197,eyes-confused,ears-clover,mouth-zigzag,horn-cactus,back-bidens,tail-gravel-ant,Plant,5,31
10598817,eyes-mavis,ears-peace-maker,mouth-peace-maker,horn-eggshell,back-tri-feather,tail-the-last-one,Bird,4,61
11153177,eyes-confused,ears-lotus,mouth-goda,horn-beech,back-sandal,tail-cattail,Plant,3,32
9271716,eyes-clear,ears-bubblemaker,mouth-piranha,horn-watermelon,back-blue-moon,tail-koi,Aquatic,3,54
11201332,eyes-clear,ears-seaslug,mouth-toothless-bite,horn-dual-blade,back-risky-beast,tail-twin-tail,Mech,4,48
11202128,eyes-cucumber-slice,ears-hollow,mouth-serious,horn-leaf-bug,back-watering-can,tail-cattail,Plant,4,31
9583695,eyes-clear,ears-friezard,mouth-toothless-bite,horn-cerastes,back-garish-worm,tail-grass-snake,Dusk,5,46
9986525,eyes-sleepless,ears-nimo,mouth-tiny-turtle,horn-wing-horn,back-garish-worm,tail-grass-snake,Dusk,5,50
10357078,eyes-papi,ears-leafy,mouth-serious,horn-leaf-bug,back-pumpkin,tail-yam,Plant,1,31
10963993,eyes-papi,ears-clover,mouth-serious,horn-cactus,back-sandal,tail-cattail,Plant,4,31
10996288,eyes-papi,ears-clover,mouth-mosquito,horn-scaly-spoon,back-bidens,tail-gravel-ant,Plant,4,32
11199830,eyes-clear,ears-gill,mouth-piranha,horn-oranda,back-blue-moon,tail-shrimp,Aquatic,0,57
10931181,eyes-mavis,ears-pink-cheek,mouth-little-owl,horn-eggshell,back-pigeon-post,tail-post-fight,Bird,2,61
11212987,eyes-papi,ears-zen,mouth-goda,horn-beech,back-sandal,tail-cattail,Plant,3,33
11283830,eyes-clear,ears-pogona,mouth-mosquito,horn-caterpillars,back-snail-shell,tail-cottontail,Bug,4,36
11035439,eyes-gero,ears-inkling,mouth-catfish,horn-caterpillars,back-sponge,tail-nimo,Aquatic,4,54
11145407,eyes-mavis,ears-peace-maker,mouth-peace-maker,horn-arco,back-tri-feather,tail-the-last-one,Bird,5,59
11167355,eyes-gero,ears-pink-cheek,mouth-goda,horn-caterpillars,back-sandal,tail-cattail,Dusk,4,46
685340,eyes-tricky,ears-hollow,mouth-kotaro,horn-scaly-spear,back-tri-spikes,tail-wall-gecko,Reptile,3,40
718744,eyes-papi,ears-sidebarb,mouth-goda,horn-dual-blade,back-risky-beast,tail-cottontail,Beast,1,40
11232875,eyes-confused,ears-rosa,mouth-goda,horn-scaly-spear,back-sandal,tail-cattail,Dusk,4,41
9168082,eyes-sleepless,ears-gill,mouth-cute-bunny,horn-antenna,back-goldfish,tail-nimo,Aquatic,1,51
9456198,eyes-papi,ears-lotus,mouth-cute-bunny,horn-antenna,back-bone-sail,tail-cattail,Plant,0,32
11094906,eyes-tricky,ears-nyan,mouth-cute-bunny,horn-antenna,back-sandal,tail-fish-snack,Bug,2,33
216911,eyes-mavis,ears-early-bird,mouth-hungry-bird,horn-eggshell,back-tri-feather,tail-hare,Bird,1,59
1978645,eyes-gero,ears-nimo,mouth-catfish,horn-parasite,back-sponge,tail-nimo,Aquatic,3,54
11204059,eyes-blossom,ears-rosa,mouth-serious,horn-beech,back-sandal,tail-cattail,Plant,4,31
10633782,eyes-mavis,ears-peace-maker,mouth-peace-maker,horn-eggshell,back-tri-feather,tail-the-last-one,Bird,3,61
11077091,eyes-clear,ears-bubblemaker,mouth-piranha,horn-arco,back-scarab,tail-nimo,Aquatic,3,52
11257007,eyes-papi,ears-lotus,mouth-goda,horn-caterpillars,back-sandal,tail-cattail,Dusk,3,40
7801706,eyes-blossom,ears-pogona,mouth-toothless-bite,horn-cerastes,back-garish-worm,tail-grass-snake,Dusk,5,43
8216989,eyes-papi,ears-clover,mouth-serious,horn-leaf-bug,back-pumpkin,tail-yam,Plant,0,31
10453444,eyes-gero,ears-nimo,mouth-tiny-turtle,horn-wing-horn,back-garish-worm,tail-grass-snake,Dusk,0,50
7301330,eyes-clear,ears-gill,mouth-cute-bunny,horn-arco,back-blue-moon,tail-nimo,Aquatic,4,52
10863663,eyes-confused,ears-clover,mouth-goda,horn-beech,back-scarab,tail-cattail,Plant,3,32
11004092,eyes-papi,ears-lotus,mouth-herbivore,horn-beech,back-sandal,tail-cattail,Plant,4,31
8748100,eyes-telescope,ears-gill,mouth-risky-fish,horn-dual-blade,back-timber,tail-nimo,Aquatic,4,53
11283318,eyes-clear,ears-early-bird,mouth-piranha,horn-oranda,back-spiky-wing,tail-koi,Aquatic,5,54
11294564,eyes-telescope,ears-tiny-fan,mouth-piranha,horn-arco,back-scarab,tail-nimo,Aquatic,0,52
10284765,eyes-mavis,ears-pink-cheek,mouth-little-owl,horn-eggshell,back-pigeon-post,tail-post-fight,Bird,3,61
11019938,eyes-gero,ears-pink-cheek,mouth-nut-cracker,horn-arco,back-balloon,tail-nut-cracker,Mech,3,51
11031713,eyes-papi,ears-clover,mouth-serious,horn-cactus,back-sandal,tail-cattail,Plant,3,31
5232432,eyes-topaz,ears-rosa,mouth-razor-bite,horn-cactus,back-red-ear,tail-rice,Reptile,2,39
9155253,eyes-clear,ears-inkling,mouth-risky-fish,horn-pliers,back-risky-beast,tail-nimo,Aquatic,5,52
10993323,eyes-blossom,ears-lotus,mouth-goda,horn-cactus,back-sandal,tail-cattail,Plant,4,32
9371981,eyes-papi,ears-clover,mouth-mosquito,horn-cactus,back-bidens,tail-hatsune,Plant,2,31
10630334,eyes-mavis,ears-owl,mouth-peace-maker,horn-eggshell,back-tri-feather,tail-the-last-one,Bird,4,61
11243823,eyes-nerdy,ears-friezard,mouth-goda,horn-beech,back-sandal,tail-cattail,Dusk,2,41
11240733,eyes-cucumber-slice,ears-lotus,mouth-mosquito,horn-cactus,back-bidens,tail-hatsune,Plant,4,31
11244205,eyes-scar,ears-rosa,mouth-goda,horn-caterpillars,back-sandal,tail-cattail,Dusk,3,41
11269954,eyes-clear,ears-inkling,mouth-piranha,horn-arco,back-scarab,tail-nimo,Aquatic,2,52
10288487,eyes-kotaro?,ears-sidebarb,mouth-cute-bunny,horn-antenna,back-bone-sail,tail-cattail,Dusk,0,41
11154752,eyes-clear,ears-inkling,mouth-cute-bunny,horn-antenna,back-goldfish,tail-nimo,Aquatic,6,51
11197818,eyes-little-owl,ears-belieber,mouth-cute-bunny,horn-antenna,back-sandal,tail-fish-snack,Bug,3,35
10570535,eyes-clear,ears-bubblemaker,mouth-cute-bunny,horn-antenna,back-goldfish,tail-nimo,Aquatic,4,51
10940924,eyes-clear,ears-ear-breathing,mouth-cute-bunny,horn-antenna,back-sandal,tail-fish-snack,Bug,4,34
11021638,eyes-gecko,ears-friezard,mouth-cute-bunny,horn-antenna,back-bone-sail,tail-cattail,Dusk,3,42
11024235,eyes-blossom,ears-sakura,mouth-serious,horn-leaf-bug,back-pumpkin,tail-yam,Plant,3,31
11026254,eyes-gecko,ears-hollow,mouth-toothless-bite,horn-cerastes,back-garish-worm,tail-grass-snake,Dusk,1,43
11275284,eyes-gero,ears-pink-cheek,mouth-tiny-turtle,horn-wing-horn,back-scarab,tail-grass-snake,Dusk,3,50
8472798,eyes-clear,ears-bubblemaker,mouth-risky-fish,horn-scaly-spear,back-perch,tail-nimo,Aquatic,0,55
11148204,eyes-gecko,ears-friezard,mouth-axie-kiss,horn-scaly-spear,back-indian-star,tail-rice,Reptile,0,41
11265870,eyes-papi,ears-clover,mouth-goda,horn-scaly-spear,back-sandal,tail-cattail,Plant,2,33
11249060,eyes-papi,ears-swirl,mouth-goda,horn-beech,back-sandal,tail-cattail,Plant,0,33
11265466,eyes-confused,ears-clover,mouth-mosquito,horn-cactus,back-bidens,tail-hatsune,Plant,3,31
11282367,eyes-telescope,ears-inkling,mouth-piranha,horn-oranda,back-blue-moon,tail-shrimp,Aquatic,3,57
11292238,eyes-telescope,ears-peace-maker,mouth-catfish,horn-incisor,back-spiky-wing,tail-rice,Dusk,4,50
11295306,eyes-tricky,ears-small-frill,mouth-catfish,horn-incisor,back-scarab,tail-twin-tail,Aquatic,4,45
11295324,eyes-confused,ears-nut-cracker,mouth-mosquito,horn-bumpy,back-timber,tail-cattail,Aquatic,4,42
11076922,eyes-clear,ears-inkling,mouth-piranha,horn-arco,back-scarab,tail-nimo,Aquatic,5,52
11162179,eyes-mavis,ears-peace-maker,mouth-peace-maker,horn-eggshell,back-tri-feather,tail-the-last-one,Bird,3,61
11228295,eyes-papi,ears-leafy,mouth-goda,horn-caterpillars,back-sandal,tail-cattail,Dusk,4,40
9461187,eyes-chubby,ears-nut-cracker,mouth-goda,horn-little-branch,back-timber,tail-rice,Beast,3,41
10589436,eyes-clear,ears-inkling,mouth-razor-bite,horn-arco,back-risky-beast,tail-nimo,Aquatic,4,51
10974089,eyes-cucumber-slice,ears-lotus,mouth-herbivore,horn-cactus,back-turnip,tail-cattail,Plant,6,31
10155332,eyes-confused,ears-lotus,mouth-zigzag,horn-cactus,back-bidens,tail-hot-butt,Plant,3,31
11203371,eyes-gecko,ears-friezard,mouth-goda,horn-caterpillars,back-sandal,tail-cattail,Dusk,4,42
11242310,eyes-mavis,ears-pink-cheek,mouth-toothless-bite,horn-dual-blade,back-risky-beast,tail-twin-tail,Mech,4,48
8620418,eyes-papi,ears-lotus,mouth-serious,horn-leaf-bug,back-pumpkin,tail-yam,Plant,4,31
8760757,eyes-little-owl,ears-gill,mouth-tiny-turtle,horn-wing-horn,back-garish-worm,tail-grass-snake,Dusk,3,50
9332342,eyes-gecko,ears-friezard,mouth-toothless-bite,horn-cerastes,back-garish-worm,tail-grass-snake,Dusk,2,44
10039790,eyes-papi,ears-leafy,mouth-serious,horn-cactus,back-watering-can,tail-cattail,Plant,4,31
10495884,eyes-sleepless,ears-curly,mouth-nut-cracker,horn-arco,back-balloon,tail-nut-cracker,Mech,4,51
10578939,eyes-clear,ears-peace-maker,mouth-piranha,horn-clamshell,back-blue-moon,tail-shrimp,Aquatic,3,57
10761265,eyes-confused,ears-gill,mouth-serious,horn-caterpillars,back-sandal,tail-cattail,Dusk,4,42
11114374,eyes-telescope,ears-owl,mouth-piranha,horn-arco,back-scarab,tail-nimo,Aquatic,3,52
11209999,eyes-scar,ears-swirl,mouth-kotaro,horn-scaly-spoon,back-indian-star,tail-tiny-dino,Reptile,0,41
11063208,eyes-kotaro?,ears-clover,mouth-serious,horn-leaf-bug,back-pumpkin,tail-cattail,Plant,3,31
11266558,eyes-telescope,ears-bubblemaker,mouth-piranha,horn-oranda,back-blue-moon,tail-shrimp,Aquatic,3,57
11271953,eyes-lucas,ears-curly,mouth-toothless-bite,horn-dual-blade,back-risky-beast,tail-twin-tail,Mech,5,48
9731581,eyes-gero,ears-curly,mouth-goda,horn-arco,back-hero,tail-hare,Mech,7,49
9935190,eyes-papi,ears-lotus,mouth-zigzag,horn-cactus,back-scarab,tail-cattail,Plant,5,31
9942620,eyes-mavis,ears-peace-maker,mouth-little-owl,horn-eggshell,back-pigeon-post,tail-post-fight,Bird,2,61
7736617,eyes-sleepless,ears-inkling,mouth-risky-fish,horn-scaly-spear,back-perch,tail-nimo,Aquatic,0,55
8567659,eyes-blossom,ears-friezard,mouth-axie-kiss,horn-scaly-spear,back-indian-star,tail-rice,Reptile,3,40
11248971,eyes-blossom,ears-rosa,mouth-goda,horn-scaly-spear,back-sandal,tail-cattail,Plant,4,33
11056239,eyes-clear,ears-seaslug,mouth-piranha,horn-cuckoo,back-blue-moon,tail-koi,Aquatic,1,57
11104720,eyes-clear,ears-seaslug,mouth-piranha,horn-arco,back-risky-beast,tail-nimo,Aquatic,0,53
11232926,eyes-gecko,ears-rosa,mouth-goda,horn-caterpillars,back-sandal,tail-cattail,Dusk,1,41
8916953,eyes-papi,ears-sakura,mouth-serious,horn-leaf-bug,back-pumpkin,tail-yam,Plant,3,31
10712991,eyes-tricky,ears-curved-spine,mouth-toothless-bite,horn-cerastes,back-pigeon-post,tail-grass-snake,Dusk,2,47
11217915,eyes-gero,ears-early-bird,mouth-toothless-bite,horn-dual-blade,back-furball,tail-twin-tail,Mech,3,48
11079968,eyes-telescope,ears-gill,mouth-catfish,horn-incisor,back-spiky-wing,tail-rice,Aquatic,5,50
11151807,eyes-papi,ears-risky-bird,mouth-mosquito,horn-bumpy,back-timber,tail-cattail,Aquatic,2,44
11177602,eyes-tricky,ears-small-frill,mouth-catfish,horn-incisor,back-scarab,tail-twin-tail,Aquatic,4,45
10915722,eyes-clear,ears-gill,mouth-piranha,horn-oranda,back-spiky-wing,tail-koi,Aquatic,4,54
11212360,eyes-robin,ears-inkling,mouth-piranha,horn-arco,back-scarab,tail-nimo,Aquatic,0,52
11228292,eyes-tricky,ears-seaslug,mouth-goda,horn-caterpillars,back-sandal,tail-cattail,Dusk,5,44
7641657,eyes-clear,ears-seaslug,mouth-tiny-turtle,horn-wing-horn,back-garish-worm,tail-grass-snake,Dusk,6,50
7931157,eyes-confused,ears-lotus,mouth-serious,horn-leaf-bug,back-pumpkin,tail-yam,Plant,3,31
9644543,eyes-telescope,ears-nyan,mouth-toothless-bite,horn-cerastes,back-garish-worm,tail-twin-tail,Dusk,4,45
